timestamp,BR1_VIB,CD3_VIB,RF5_VIB,AC2_VIB,LM7_VIB
2026-07-12 18:00,0.74,1.18,1.21,1.3,0.89
2026-07-12 19:00,0.77,1.15,1.15,1.3,0.89
2026-07-12 20:00,0.9,1.01,1.16,1.25,0.88
2026-07-12 21:00,0.98,1.06,1.1,1.25,0.76
2026-07-12 22:00,1.01,0.95,1.18,1.21,0.87
2026-07-12 23:00,1.05,1.04,1.14,1.22,1.02
2026-07-13 00:00,1.05,1.08,1.14,1.19,1.09
2026-07-13 01:00,1.09,1.14,1.17,1.2,1.17
2026-07-13 02:00,1.11,1.12,1.24,1.09,1.15
2026-07-13 03:00,0.97,0.96,1.23,1.17,1.02
2026-07-13 04:00,0.85,0.97,1.29,1.15,1.17
2026-07-13 05:00,0.88,1.05,1.21,1.08,1.04
2026-07-13 06:00,0.82,1.13,1.23,1.14,1.07
2026-07-13 07:00,0.89,1.22,1.26,1.18,1.0
2026-07-13 08:00,1.04,1.14,1.26,1.24,1.11
2026-07-13 09:00,0.96,1.16,1.21,1.31,1.05
2026-07-13 10:00,0.97,1.21,1.28,1.3,1.02
2026-07-13 11:00,0.93,1.21,1.18,1.23,1.14
2026-07-13 12:00,1.08,1.27,1.2,1.31,1.11
2026-07-13 13:00,0.98,1.14,1.28,1.3,1.14
2026-07-13 14:00,1.05,1.17,1.29,1.36,1.02
2026-07-13 15:00,1.09,1.16,1.23,1.32,0.91
2026-07-13 16:00,1.02,1.12,1.15,1.25,0.97
2026-07-13 17:00,0.98,1.09,1.22,1.16,1.01
2026-07-13 18:00,1.01,0.99,1.23,1.27,1.02
2026-07-13 19:00,1.02,1.1,1.28,1.27,1.08
2026-07-13 20:00,1.05,1.04,1.24,1.39,1.12
2026-07-13 21:00,1.1,1.09,1.28,1.28,1.02
2026-07-13 22:00,1.02,1.17,1.4,1.28,1.1
2026-07-13 23:00,1.06,1.13,1.36,1.3,1.12
2026-07-14 00:00,0.97,1.08,1.3,1.19,1.22
2026-07-14 01:00,0.86,1.18,1.23,1.24,1.29
2026-07-14 02:00,0.92,1.22,1.24,1.16,1.22
2026-07-14 03:00,0.78,1.25,1.26,1.21,1.17
2026-07-14 04:00,0.82,1.21,1.11,1.2,1.09
2026-07-14 05:00,0.84,1.29,1.15,1.21,1.05
2026-07-14 06:00,0.88,1.1,1.28,1.18,1.02
2026-07-14 07:00,0.94,1.04,1.3,1.11,1.08
2026-07-14 08:00,1.02,1.05,1.19,1.17,0.97
2026-07-14 09:00,0.98,0.96,1.25,1.19,0.9
2026-07-14 10:00,0.98,0.96,1.3,1.23,0.9
2026-07-14 11:00,0.96,1.07,1.24,1.23,0.89
2026-07-14 12:00,1.13,1.16,1.33,1.15,0.87
2026-07-14 13:00,1.15,1.06,1.29,1.16,0.77
2026-07-14 14:00,0.97,1.04,1.22,1.28,0.8
2026-07-14 15:00,0.98,1.11,1.33,1.32,0.88
2026-07-14 16:00,0.92,1.06,1.39,1.15,0.94
2026-07-14 17:00,0.84,1.12,1.29,1.15,1.05
2026-07-14 18:00,0.77,1.06,1.14,1.13,1.09
2026-07-14 19:00,0.76,1.06,1.07,1.17,0.98
2026-07-14 20:00,0.9,1.21,1.02,1.26,1.02
2026-07-14 21:00,0.97,1.1,1.04,1.24,0.97
2026-07-14 22:00,1.04,1.15,1.07,1.18,0.89
2026-07-14 23:00,0.97,1.09,1.18,1.15,0.87
2026-07-15 00:00,0.94,1.12,1.22,1.11,1.03
2026-07-15 01:00,0.87,1.18,1.16,1.17,1.01
2026-07-15 02:00,0.9,1.24,1.16,1.23,1.09
2026-07-15 03:00,0.83,1.14,1.25,1.12,1.09
2026-07-15 04:00,0.86,1.2,1.14,1.13,1.19
2026-07-15 05:00,0.92,1.15,1.14,1.19,1.13
2026-07-15 06:00,0.94,1.16,1.17,1.24,1.16
2026-07-15 07:00,0.89,1.14,1.23,1.18,1.16
2026-07-15 08:00,0.87,1.16,1.21,1.14,1.17
2026-07-15 09:00,0.85,1.23,1.15,1.09,1.17
2026-07-15 10:00,0.83,1.29,1.22,0.96,1.19
2026-07-15 11:00,0.92,1.4,1.18,1.08,1.07
2026-07-15 12:00,0.87,1.27,1.24,1.06,1.13
2026-07-15 13:00,0.9,1.13,1.09,0.99,1.15
2026-07-15 14:00,0.86,1.07,1.02,1.06,1.08
2026-07-15 15:00,0.89,1.02,1.16,1.12,1.15
2026-07-15 16:00,0.8,1.07,1.15,1.12,1.07
2026-07-15 17:00,0.85,1.05,1.18,1.15,1.09
2026-07-15 18:00,0.86,1.05,1.19,1.2,0.99
2026-07-15 19:00,0.99,1.12,1.14,1.17,0.98
2026-07-15 20:00,1.09,1.11,1.29,1.18,0.92
2026-07-15 21:00,1.1,1.01,1.23,1.07,1.0
2026-07-15 22:00,1.07,0.95,1.25,1.07,1.1
2026-07-15 23:00,1.06,1.01,1.18,1.2,1.15
2026-07-16 00:00,1.11,1.05,1.22,1.21,1.05
2026-07-16 01:00,1.0,1.0,1.2,1.29,1.0
2026-07-16 02:00,0.95,1.02,1.16,1.23,1.1
2026-07-16 03:00,0.94,1.04,1.23,1.28,1.11
2026-07-16 04:00,0.94,1.09,1.29,1.22,1.13
2026-07-16 05:00,0.96,1.11,1.15,1.17,1.13
2026-07-16 06:00,1.13,1.26,1.26,1.27,1.1
2026-07-16 07:00,1.11,1.24,1.38,1.16,1.18
2026-07-16 08:00,1.02,1.25,1.34,1.17,1.17
2026-07-16 09:00,1.04,1.17,1.32,1.18,1.07
2026-07-16 10:00,0.9,1.28,1.24,1.3,1.06
2026-07-16 11:00,0.89,1.32,1.25,1.27,1.02
2026-07-16 12:00,0.88,1.19,1.27,1.27,1.09
2026-07-16 13:00,0.84,1.26,1.33,1.21,1.14
2026-07-16 14:00,0.75,1.27,1.37,1.26,1.15
2026-07-16 15:00,0.81,1.21,1.43,1.21,1.19
2026-07-16 16:00,0.76,1.27,1.4,1.11,1.17
2026-07-16 17:00,0.81,1.26,1.31,1.3,1.13
2026-07-16 18:00,0.9,1.17,1.32,1.23,1.06
2026-07-16 19:00,0.93,1.28,1.38,1.19,1.02
2026-07-16 20:00,0.9,1.18,1.26,1.1,0.97
2026-07-16 21:00,0.93,1.18,1.25,1.13,0.85
2026-07-16 22:00,0.95,1.19,1.29,1.1,0.98
2026-07-16 23:00,1.01,1.22,1.21,1.31,1.04
2026-07-17 00:00,0.98,1.21,1.19,1.3,1.05
2026-07-17 01:00,0.9,1.15,1.15,1.22,1.12
2026-07-17 02:00,0.84,1.17,1.3,1.11,1.11
2026-07-17 03:00,0.83,1.13,1.38,1.04,1.0
2026-07-17 04:00,0.93,1.23,1.31,1.13,1.05
2026-07-17 05:00,0.96,1.3,1.2,1.07,1.12
2026-07-17 06:00,0.99,1.18,1.26,1.2,1.09
2026-07-17 07:00,0.96,1.21,1.31,1.07,1.13
2026-07-17 08:00,0.92,1.11,1.24,1.15,1.17
2026-07-17 09:00,1.07,1.04,1.24,1.14,1.08
2026-07-17 10:00,0.96,1.04,1.08,1.09,0.97
2026-07-17 11:00,0.84,1.19,1.13,1.17,1.01
2026-07-17 12:00,0.86,1.17,1.12,1.18,1.09
2026-07-17 13:00,0.92,1.19,1.11,1.2,0.94
2026-07-17 14:00,0.9,1.31,1.11,1.2,1.01
2026-07-17 15:00,0.95,1.2,1.23,1.23,1.05
2026-07-17 16:00,1.01,1.2,1.17,1.1,1.18
2026-07-17 17:00,0.96,1.19,1.13,1.18,1.28
2026-07-17 18:00,1.01,1.22,1.1,1.24,1.21
2026-07-17 19:00,1.07,1.14,1.13,1.25,1.16
2026-07-17 20:00,1.0,1.03,1.09,1.34,1.02
2026-07-17 21:00,0.95,1.07,1.2,1.31,1.04
2026-07-17 22:00,1.04,0.92,1.27,1.31,0.96
2026-07-17 23:00,0.97,0.89,1.32,1.24,1.04
2026-07-18 00:00,0.93,0.91,1.28,1.21,1.1
2026-07-18 01:00,0.81,1.03,1.27,1.35,1.05
2026-07-18 02:00,0.8,1.0,1.22,1.38,1.0
2026-07-18 03:00,0.99,1.0,1.26,1.25,1.0
2026-07-18 04:00,0.9,1.12,1.35,1.27,1.09
2026-07-18 05:00,0.8,1.13,1.28,1.38,1.1
2026-07-18 06:00,0.84,1.1,1.38,1.31,1.09
2026-07-18 07:00,0.88,1.06,1.26,1.17,1.06
2026-07-18 08:00,0.93,1.06,1.16,1.32,1.18
2026-07-18 09:00,0.88,1.1,1.08,1.31,1.22
2026-07-18 10:00,0.93,1.08,1.07,1.26,1.14
2026-07-18 11:00,0.9,1.13,1.13,1.23,1.06
2026-07-18 12:00,0.93,1.06,1.1,1.26,1.01
2026-07-18 13:00,0.89,1.01,1.23,1.26,1.03
2026-07-18 14:00,1.01,1.07,1.19,1.29,1.08
2026-07-18 15:00,1.0,1.07,1.07,1.19,1.06
2026-07-18 16:00,1.1,1.24,1.23,1.14,1.09
2026-07-18 17:00,1.08,1.14,1.21,1.13,1.09
2026-07-18 18:00,1.12,1.17,1.08,1.12,1.1
2026-07-18 19:00,1.14,1.24,1.07,1.07,1.14
2026-07-18 20:00,1.12,1.18,1.09,1.1,1.07
2026-07-18 21:00,1.08,1.27,1.05,1.08,1.01
2026-07-18 22:00,1.11,1.24,1.12,1.2,0.96
2026-07-18 23:00,1.16,1.15,1.11,1.23,0.97
2026-07-19 00:00,1.17,1.22,1.02,1.29,1.09
2026-07-19 01:00,1.14,1.18,1.03,1.27,1.07
2026-07-19 02:00,1.14,1.1,1.04,1.27,1.04
2026-07-19 03:00,1.18,1.05,1.22,1.19,1.04
2026-07-19 04:00,1.21,1.14,1.2,1.27,1.09
2026-07-19 05:00,1.11,1.13,1.23,1.22,1.1
2026-07-19 06:00,1.05,1.13,1.2,1.23,1.06
2026-07-19 07:00,0.97,1.21,1.28,1.22,1.17
2026-07-19 08:00,0.94,1.32,1.13,1.21,1.09
2026-07-19 09:00,1.07,1.25,1.19,1.15,1.13
2026-07-19 10:00,1.03,1.27,1.3,1.14,1.1
2026-07-19 11:00,1.12,1.23,1.25,1.23,1.09
2026-07-19 12:00,0.96,1.25,1.3,1.22,1.04
2026-07-19 13:00,1.05,1.29,1.31,1.19,1.04
2026-07-19 14:00,1.03,1.23,1.32,1.17,1.0
2026-07-19 15:00,1.03,1.15,1.4,1.3,1.01
2026-07-19 16:00,1.04,1.2,1.34,1.27,1.05
2026-07-19 17:00,0.98,1.18,1.24,1.31,1.01
2026-07-19 18:00,0.96,1.13,1.25,1.37,1.03
2026-07-19 19:00,0.95,1.34,1.17,1.31,1.12
2026-07-19 20:00,0.93,1.22,1.19,1.36,1.13
2026-07-19 21:00,0.94,1.12,1.21,1.21,1.21
2026-07-19 22:00,1.01,1.11,1.16,1.05,1.12
2026-07-19 23:00,1.01,1.13,1.25,1.15,1.11
2026-07-20 00:00,1.08,1.23,1.14,1.11,1.14
2026-07-20 01:00,1.1,1.09,1.13,1.14,1.19
2026-07-20 02:00,1.12,1.19,1.23,1.16,1.07
2026-07-20 03:00,1.1,1.18,1.21,1.15,0.98
2026-07-20 04:00,0.98,1.15,1.16,1.1,1.1
2026-07-20 05:00,1.05,1.18,1.31,1.19,1.13
2026-07-20 06:00,0.92,1.1,1.32,1.11,1.14
2026-07-20 07:00,0.97,1.12,1.41,1.15,1.09
2026-07-20 08:00,0.93,1.11,1.41,1.21,1.09
2026-07-20 09:00,0.87,1.06,1.49,1.28,1.01
2026-07-20 10:00,1.01,1.04,1.37,1.19,1.06
2026-07-20 11:00,0.98,1.11,1.3,1.25,1.06
2026-07-20 12:00,0.97,0.91,1.4,1.29,1.11
2026-07-20 13:00,0.95,0.96,1.4,1.34,1.18
2026-07-20 14:00,0.99,0.92,1.27,1.27,1.07
2026-07-20 15:00,0.98,1.03,1.25,1.27,1.12
2026-07-20 16:00,1.01,1.1,1.25,1.18,1.22
2026-07-20 17:00,0.96,1.15,1.3,1.22,1.13
2026-07-20 18:00,0.99,1.14,1.24,1.18,1.02
2026-07-20 19:00,1.05,1.18,1.12,1.22,1.1
2026-07-20 20:00,1.04,1.16,1.14,1.25,1.15
2026-07-20 21:00,1.0,1.18,1.21,1.13,1.14
2026-07-20 22:00,0.87,1.07,1.21,1.06,1.09
2026-07-20 23:00,1.01,1.12,1.23,1.1,1.11
