timestamp,FL4_FILL_PRESSURE,FL4_VIB
2026-07-01 17:00,109.5,1.11
2026-07-01 18:00,102.5,1.22
2026-07-01 19:00,94.3,1.22
2026-07-01 20:00,91.2,1.37
2026-07-01 21:00,89.0,1.27
2026-07-01 22:00,80.3,1.08
2026-07-01 23:00,81.1,1.30
2026-07-02 00:00,80.8,1.19
2026-07-02 01:00,83.2,1.23
2026-07-02 02:00,85.6,1.51
2026-07-02 03:00,86.5,1.15
2026-07-02 04:00,95.6,1.32
2026-07-02 05:00,94.2,1.26
2026-07-02 06:00,101.4,1.22
2026-07-02 07:00,104.9,1.20
2026-07-02 08:00,108.2,1.38
2026-07-02 09:00,119.2,1.24
2026-07-02 10:00,118.9,1.56
2026-07-02 11:00,114.5,1.47
2026-07-02 12:00,121.0,1.49
2026-07-02 13:00,110.9,1.92
2026-07-02 14:00,113.9,1.71
2026-07-02 15:00,112.4,1.52
2026-07-02 16:00,105.6,1.37
2026-07-02 17:00,111.2,1.37
2026-07-02 18:00,97.1,1.07
2026-07-02 19:00,90.5,1.25
2026-07-02 20:00,91.0,1.39
2026-07-02 21:00,84.1,1.16
2026-07-02 22:00,80.9,1.25
2026-07-02 23:00,83.6,1.32
2026-07-03 00:00,80.6,1.57
2026-07-03 01:00,84.2,1.34
2026-07-03 02:00,87.3,1.30
2026-07-03 03:00,86.3,1.16
2026-07-03 04:00,94.4,1.23
2026-07-03 05:00,100.3,1.42
2026-07-03 06:00,98.5,1.37
2026-07-03 07:00,106.2,1.25
2026-07-03 08:00,109.4,1.38
2026-07-03 09:00,110.3,1.52
2026-07-03 10:00,118.4,1.50
2026-07-03 11:00,118.7,1.40
2026-07-03 12:00,122.7,1.80
2026-07-03 13:00,116.9,1.48
2026-07-03 14:00,123.5,1.64
2026-07-03 15:00,111.8,1.49
2026-07-03 16:00,107.4,1.49
2026-07-03 17:00,105.1,1.52
2026-07-03 18:00,96.2,1.16
2026-07-03 19:00,96.7,1.20
2026-07-03 20:00,90.4,1.11
2026-07-03 21:00,81.0,1.34
2026-07-03 22:00,83.2,1.14
2026-07-03 23:00,88.5,1.34
2026-07-04 00:00,81.9,1.02
2026-07-04 01:00,89.2,1.12
2026-07-04 02:00,80.1,1.30
2026-07-04 03:00,84.3,1.12
2026-07-04 04:00,91.1,1.20
2026-07-04 05:00,91.8,1.22
2026-07-04 06:00,97.6,1.32
2026-07-04 07:00,106.7,1.60
2026-07-04 08:00,99.6,1.26
2026-07-04 09:00,108.1,1.59
2026-07-04 10:00,112.1,1.44
2026-07-04 11:00,117.0,1.59
2026-07-04 12:00,115.6,1.81
2026-07-04 13:00,118.0,1.54
2026-07-04 14:00,118.7,1.65
2026-07-04 15:00,114.2,1.44
2026-07-04 16:00,109.1,1.64
2026-07-04 17:00,104.1,1.31
2026-07-04 18:00,100.1,1.30
2026-07-04 19:00,94.6,1.20
2026-07-04 20:00,89.3,1.23
2026-07-04 21:00,87.8,1.31
2026-07-04 22:00,80.6,1.15
2026-07-04 23:00,86.2,1.30
2026-07-05 00:00,79.3,1.36
2026-07-05 01:00,83.8,1.37
2026-07-05 02:00,89.1,1.14
2026-07-05 03:00,86.2,1.17
2026-07-05 04:00,90.0,1.25
2026-07-05 05:00,96.3,1.18
2026-07-05 06:00,99.9,1.34
2026-07-05 07:00,96.2,1.38
2026-07-05 08:00,113.5,1.49
2026-07-05 09:00,111.0,1.46
2026-07-05 10:00,114.8,1.58
2026-07-05 11:00,118.3,1.83
2026-07-05 12:00,108.0,1.79
2026-07-05 13:00,117.3,1.57
2026-07-05 14:00,117.0,1.65
2026-07-05 15:00,114.8,1.49
2026-07-05 16:00,117.9,1.54
2026-07-05 17:00,108.8,1.32
2026-07-05 18:00,99.4,1.27
2026-07-05 19:00,95.0,1.39
2026-07-05 20:00,93.2,1.34
2026-07-05 21:00,84.6,1.49
2026-07-05 22:00,82.8,1.20
2026-07-05 23:00,82.3,1.44
2026-07-06 00:00,81.0,1.44
2026-07-06 01:00,79.2,1.39
2026-07-06 02:00,78.5,1.31
2026-07-06 03:00,88.5,1.40
2026-07-06 04:00,92.0,1.51
2026-07-06 05:00,98.7,1.56
2026-07-06 06:00,99.5,1.05
2026-07-06 07:00,101.3,1.41
2026-07-06 08:00,115.7,1.37
2026-07-06 09:00,114.1,1.73
2026-07-06 10:00,117.9,1.69
2026-07-06 11:00,118.1,1.60
2026-07-06 12:00,115.5,1.62
2026-07-06 13:00,114.3,1.87
2026-07-06 14:00,114.6,1.68
2026-07-06 15:00,114.8,1.61
2026-07-06 16:00,114.0,1.58
2026-07-06 17:00,103.8,1.61
2026-07-06 18:00,92.5,1.59
2026-07-06 19:00,92.2,1.44
2026-07-06 20:00,95.4,1.57
2026-07-06 21:00,88.8,1.44
2026-07-06 22:00,84.3,1.55
2026-07-06 23:00,81.6,1.29
2026-07-07 00:00,79.1,1.70
2026-07-07 01:00,81.6,1.36
2026-07-07 02:00,87.0,1.23
2026-07-07 03:00,83.2,1.29
2026-07-07 04:00,88.3,1.46
2026-07-07 05:00,96.4,1.23
2026-07-07 06:00,103.4,1.48
2026-07-07 07:00,98.1,1.48
2026-07-07 08:00,112.6,1.58
2026-07-07 09:00,111.9,1.88
2026-07-07 10:00,112.5,1.98
2026-07-07 11:00,120.1,1.92
2026-07-07 12:00,115.5,1.92
2026-07-07 13:00,124.2,1.81
2026-07-07 14:00,110.8,1.73
2026-07-07 15:00,106.0,1.56
2026-07-07 16:00,112.8,1.95
2026-07-07 17:00,102.2,1.80
2026-07-07 18:00,102.3,1.47
2026-07-07 19:00,93.0,1.47
2026-07-07 20:00,95.3,1.61
2026-07-07 21:00,88.3,1.40
2026-07-07 22:00,85.8,1.44
2026-07-07 23:00,85.3,1.67
2026-07-08 00:00,83.6,1.59
2026-07-08 01:00,93.9,1.71
2026-07-08 02:00,81.4,1.48
2026-07-08 03:00,92.2,1.52
2026-07-08 04:00,90.7,1.60
2026-07-08 05:00,96.2,1.66
2026-07-08 06:00,100.2,1.84
2026-07-08 07:00,104.4,1.87
2026-07-08 08:00,105.0,1.78
2026-07-08 09:00,113.6,1.91
2026-07-08 10:00,121.8,1.97
2026-07-08 11:00,116.7,1.77
2026-07-08 12:00,120.1,1.92
2026-07-08 13:00,117.2,1.59
2026-07-08 14:00,114.2,1.82
2026-07-08 15:00,118.8,2.02
2026-07-08 16:00,114.1,1.88
2026-07-08 17:00,110.9,1.70
2026-07-08 18:00,103.3,1.44
2026-07-08 19:00,99.7,1.56
2026-07-08 20:00,87.0,1.52
2026-07-08 21:00,83.8,1.80
2026-07-08 22:00,83.6,1.74
2026-07-08 23:00,87.1,1.71
2026-07-09 00:00,79.9,1.57
2026-07-09 01:00,79.1,1.58
2026-07-09 02:00,76.3,1.85
2026-07-09 03:00,84.2,1.67
2026-07-09 04:00,88.1,1.53
2026-07-09 05:00,96.8,1.72
2026-07-09 06:00,99.6,1.58
2026-07-09 07:00,105.9,2.04
2026-07-09 08:00,110.2,1.97
2026-07-09 09:00,110.9,1.90
2026-07-09 10:00,115.9,2.11
2026-07-09 11:00,112.7,1.95
2026-07-09 12:00,118.3,2.10
2026-07-09 13:00,113.1,2.17
2026-07-09 14:00,117.6,1.90
2026-07-09 15:00,112.1,1.87
2026-07-09 16:00,105.3,1.88
2026-07-09 17:00,102.5,1.92
2026-07-09 18:00,99.1,1.59
2026-07-09 19:00,97.4,1.55
2026-07-09 20:00,87.8,1.76
2026-07-09 21:00,85.9,1.86
2026-07-09 22:00,84.8,1.67
2026-07-09 23:00,80.2,1.84
2026-07-10 00:00,87.1,1.80
2026-07-10 01:00,80.6,1.89
2026-07-10 02:00,87.2,1.85
2026-07-10 03:00,89.9,1.88
2026-07-10 04:00,91.6,1.88
2026-07-10 05:00,102.0,1.58
2026-07-10 06:00,102.8,1.82
2026-07-10 07:00,109.1,1.64
2026-07-10 08:00,105.7,2.02
2026-07-10 09:00,112.8,2.05
2026-07-10 10:00,111.1,2.20
2026-07-10 11:00,113.5,1.91
2026-07-10 12:00,111.8,2.44
2026-07-10 13:00,114.5,2.13
2026-07-10 14:00,119.5,2.01
2026-07-10 15:00,116.1,2.16
2026-07-10 16:00,108.5,1.89
2026-07-10 17:00,105.7,1.91
2026-07-10 18:00,99.2,1.77
2026-07-10 19:00,95.5,1.57
2026-07-10 20:00,93.5,1.87
2026-07-10 21:00,91.7,1.86
2026-07-10 22:00,83.6,1.78
2026-07-10 23:00,84.0,1.60
2026-07-11 00:00,80.8,1.97
2026-07-11 01:00,85.0,1.85
2026-07-11 02:00,82.0,1.95
2026-07-11 03:00,94.0,1.74
2026-07-11 04:00,84.2,2.01
2026-07-11 05:00,98.1,1.87
2026-07-11 06:00,89.5,1.98
2026-07-11 07:00,109.6,1.85
2026-07-11 08:00,107.8,1.94
2026-07-11 09:00,106.5,2.22
2026-07-11 10:00,116.2,2.16
2026-07-11 11:00,118.2,2.27
2026-07-11 12:00,119.1,2.11
2026-07-11 13:00,109.8,2.17
2026-07-11 14:00,115.1,2.25
2026-07-11 15:00,109.3,2.18
2026-07-11 16:00,106.4,2.09
2026-07-11 17:00,106.2,1.99
2026-07-11 18:00,101.3,1.90
2026-07-11 19:00,91.8,2.07
2026-07-11 20:00,89.9,1.91
2026-07-11 21:00,84.7,1.78
2026-07-11 22:00,85.6,1.87
2026-07-11 23:00,87.9,1.98
