timestamp,SMT1_VIB,RO4_VIB,AOI2_VIB,WS3_VIB
2026-06-30 22:00,1.23,1.07,1.26,1.30
2026-06-30 23:00,1.06,1.29,0.98,1.25
2026-07-01 00:00,1.12,1.11,1.19,1.39
2026-07-01 01:00,1.29,1.21,1.22,1.40
2026-07-01 02:00,1.16,1.12,1.31,1.41
2026-07-01 03:00,1.13,1.18,1.27,1.29
2026-07-01 04:00,1.24,1.23,1.22,1.19
2026-07-01 05:00,1.21,1.12,1.32,1.24
2026-07-01 06:00,1.30,1.35,1.16,1.27
2026-07-01 07:00,1.01,1.20,1.44,1.39
2026-07-01 08:00,1.17,1.39,1.53,1.49
2026-07-01 09:00,1.36,1.57,1.47,1.49
2026-07-01 10:00,1.38,1.36,1.63,1.60
2026-07-01 11:00,1.45,1.37,1.52,1.53
2026-07-01 12:00,1.49,1.66,1.55,1.59
2026-07-01 13:00,1.29,1.54,1.45,1.59
2026-07-01 14:00,1.23,1.55,1.50,1.64
2026-07-01 15:00,1.45,1.48,1.46,1.60
2026-07-01 16:00,1.33,1.30,1.59,1.36
2026-07-01 17:00,1.47,1.27,1.28,1.29
2026-07-01 18:00,1.13,1.17,1.32,1.43
2026-07-01 19:00,1.17,1.17,1.23,1.44
2026-07-01 20:00,1.26,1.23,1.24,1.22
2026-07-01 21:00,1.11,1.26,1.19,1.29
2026-07-01 22:00,1.12,1.35,1.31,1.36
2026-07-01 23:00,1.15,1.21,1.14,1.44
2026-07-02 00:00,1.27,1.16,1.21,1.24
2026-07-02 01:00,1.06,1.14,1.21,1.27
2026-07-02 02:00,1.24,1.15,1.21,1.31
2026-07-02 03:00,1.17,1.14,1.32,1.37
2026-07-02 04:00,1.16,1.25,1.22,1.34
2026-07-02 05:00,1.13,1.13,1.33,1.26
2026-07-02 06:00,1.18,1.23,1.20,1.32
2026-07-02 07:00,1.18,1.19,1.54,1.41
2026-07-02 08:00,1.24,1.35,1.42,1.42
2026-07-02 09:00,1.33,1.48,1.53,1.58
2026-07-02 10:00,1.26,1.42,1.77,1.48
2026-07-02 11:00,1.36,1.54,1.46,1.65
2026-07-02 12:00,1.40,1.31,1.50,1.51
2026-07-02 13:00,1.39,1.33,1.51,1.45
2026-07-02 14:00,1.45,1.45,1.54,1.49
2026-07-02 15:00,1.40,1.52,1.48,1.44
2026-07-02 16:00,1.41,1.30,1.35,1.54
2026-07-02 17:00,1.33,1.19,1.27,1.35
2026-07-02 18:00,1.30,1.20,1.30,1.38
2026-07-02 19:00,0.91,0.98,1.24,1.38
2026-07-02 20:00,1.05,1.23,1.27,1.28
2026-07-02 21:00,0.97,1.21,1.36,1.52
2026-07-02 22:00,1.13,1.18,1.05,1.31
2026-07-02 23:00,1.11,1.24,1.28,1.22
2026-07-03 00:00,1.22,0.97,1.19,1.42
2026-07-03 01:00,1.19,1.39,1.19,1.31
2026-07-03 02:00,1.16,1.26,1.24,1.39
2026-07-03 03:00,1.31,1.31,1.00,1.15
2026-07-03 04:00,1.28,1.21,1.12,1.30
2026-07-03 05:00,1.29,1.23,1.32,1.30
2026-07-03 06:00,1.05,1.08,1.29,1.43
2026-07-03 07:00,1.11,1.34,1.42,1.44
2026-07-03 08:00,1.31,1.43,1.47,1.48
2026-07-03 09:00,1.30,1.52,1.46,1.47
2026-07-03 10:00,1.37,1.23,1.58,1.58
2026-07-03 11:00,1.40,1.34,1.59,1.66
2026-07-03 12:00,1.53,1.58,1.47,1.67
2026-07-03 13:00,1.51,1.37,1.46,1.65
2026-07-03 14:00,1.46,1.64,1.43,1.62
2026-07-03 15:00,1.36,1.49,1.35,1.38
2026-07-03 16:00,1.20,1.56,1.43,1.40
2026-07-03 17:00,1.40,1.18,1.50,1.27
2026-07-03 18:00,1.26,1.18,1.21,1.27
2026-07-03 19:00,1.02,1.14,1.37,1.38
2026-07-03 20:00,1.04,1.10,1.23,1.35
2026-07-03 21:00,1.19,1.41,1.39,1.28
2026-07-03 22:00,1.02,1.40,1.14,1.30
2026-07-03 23:00,1.16,1.06,1.23,1.36
2026-07-04 00:00,1.28,1.25,1.13,1.37
2026-07-04 01:00,1.27,1.20,1.30,1.33
2026-07-04 02:00,1.18,1.22,1.28,1.43
2026-07-04 03:00,1.27,1.23,1.18,1.42
2026-07-04 04:00,1.15,1.22,1.29,1.20
2026-07-04 05:00,1.31,1.19,1.25,1.35
2026-07-04 06:00,1.02,1.05,1.37,1.41
2026-07-04 07:00,1.27,1.44,1.22,1.46
2026-07-04 08:00,1.19,1.32,1.44,1.61
2026-07-04 09:00,1.32,1.47,1.42,1.50
2026-07-04 10:00,1.62,1.33,1.50,1.50
2026-07-04 11:00,1.52,1.36,1.52,1.70
2026-07-04 12:00,1.44,1.61,1.60,1.47
2026-07-04 13:00,1.44,1.57,1.60,1.64
2026-07-04 14:00,1.40,1.37,1.49,1.79
2026-07-04 15:00,1.25,1.69,1.68,1.47
2026-07-04 16:00,1.21,1.50,1.35,1.44
2026-07-04 17:00,1.12,1.31,1.52,1.21
2026-07-04 18:00,1.09,1.24,1.41,1.38
2026-07-04 19:00,1.26,1.18,1.17,1.31
2026-07-04 20:00,1.23,1.17,1.20,1.22
2026-07-04 21:00,1.18,1.15,1.34,1.35
2026-07-04 22:00,1.31,1.03,1.37,1.18
2026-07-04 23:00,1.24,1.12,1.08,1.55
2026-07-05 00:00,1.19,0.94,1.28,1.25
2026-07-05 01:00,1.06,1.26,1.35,1.24
2026-07-05 02:00,0.85,1.07,1.42,1.40
2026-07-05 03:00,1.28,1.28,1.40,1.46
2026-07-05 04:00,1.05,1.36,1.28,1.38
2026-07-05 05:00,1.15,1.14,1.42,1.29
2026-07-05 06:00,1.10,1.24,1.22,1.20
2026-07-05 07:00,1.04,1.31,1.47,1.44
2026-07-05 08:00,1.51,1.21,1.29,1.43
2026-07-05 09:00,1.35,1.57,1.43,1.61
2026-07-05 10:00,1.35,1.49,1.51,1.77
2026-07-05 11:00,1.44,1.56,1.57,1.58
2026-07-05 12:00,1.50,1.70,1.47,1.53
2026-07-05 13:00,1.43,1.72,1.53,1.58
2026-07-05 14:00,1.51,1.57,1.37,1.60
2026-07-05 15:00,1.19,1.38,1.54,1.55
2026-07-05 16:00,1.27,1.58,1.48,1.38
2026-07-05 17:00,1.14,1.18,1.33,1.39
2026-07-05 18:00,1.11,1.34,1.31,1.28
2026-07-05 19:00,1.13,1.34,1.39,1.54
2026-07-05 20:00,1.33,1.27,1.39,1.42
2026-07-05 21:00,1.06,1.32,1.31,1.38
2026-07-05 22:00,1.22,1.35,1.17,1.30
2026-07-05 23:00,1.00,1.49,1.34,1.23
2026-07-06 00:00,1.11,1.22,1.24,1.45
2026-07-06 01:00,1.09,1.36,1.10,1.54
2026-07-06 02:00,1.11,1.27,1.25,1.30
2026-07-06 03:00,1.21,1.17,1.29,1.43
2026-07-06 04:00,1.10,1.41,1.28,1.34
2026-07-06 05:00,1.13,1.41,1.14,1.46
2026-07-06 06:00,1.12,1.42,1.26,1.48
2026-07-06 07:00,1.13,1.23,1.21,1.51
2026-07-06 08:00,1.32,1.55,1.62,1.72
2026-07-06 09:00,1.46,1.72,1.53,1.66
2026-07-06 10:00,1.36,1.75,1.43,1.78
2026-07-06 11:00,1.19,1.57,1.44,1.70
2026-07-06 12:00,1.30,1.63,1.48,1.73
2026-07-06 13:00,1.45,1.65,1.35,1.67
2026-07-06 14:00,1.39,1.60,1.55,1.75
2026-07-06 15:00,1.30,1.62,1.47,1.62
2026-07-06 16:00,1.45,1.57,1.36,1.64
2026-07-06 17:00,1.13,1.48,1.21,1.69
2026-07-06 18:00,1.22,1.35,1.17,1.52
2026-07-06 19:00,1.25,1.43,1.23,1.69
2026-07-06 20:00,1.16,1.47,1.01,1.31
2026-07-06 21:00,1.11,1.36,1.12,1.45
2026-07-06 22:00,1.20,1.15,1.31,1.38
2026-07-06 23:00,1.10,1.51,1.41,1.59
2026-07-07 00:00,1.14,1.43,1.02,1.38
2026-07-07 01:00,1.25,1.25,1.14,1.60
2026-07-07 02:00,1.11,1.42,1.33,1.39
2026-07-07 03:00,1.29,1.40,1.30,1.58
2026-07-07 04:00,1.06,1.36,1.16,1.59
2026-07-07 05:00,1.07,1.36,1.47,1.66
2026-07-07 06:00,1.18,1.43,1.26,1.53
2026-07-07 07:00,1.07,1.74,1.21,1.55
2026-07-07 08:00,1.38,1.54,1.44,1.80
2026-07-07 09:00,1.40,1.57,1.33,1.70
2026-07-07 10:00,1.55,1.62,1.51,1.86
2026-07-07 11:00,1.24,1.84,1.57,1.91
2026-07-07 12:00,1.52,1.84,1.37,1.95
2026-07-07 13:00,1.47,1.70,1.64,1.81
2026-07-07 14:00,1.34,1.88,1.77,1.86
2026-07-07 15:00,1.48,1.71,1.53,1.68
2026-07-07 16:00,1.19,1.73,1.34,1.79
2026-07-07 17:00,1.27,1.57,1.18,1.61
2026-07-07 18:00,1.20,1.60,1.32,1.55
2026-07-07 19:00,1.38,1.63,1.23,1.59
2026-07-07 20:00,1.25,1.64,1.28,1.55
2026-07-07 21:00,1.11,1.54,1.22,1.72
2026-07-07 22:00,1.15,1.55,1.26,1.61
2026-07-07 23:00,1.18,1.52,1.20,1.62
2026-07-08 00:00,1.33,1.52,1.16,1.69
2026-07-08 01:00,1.19,1.54,1.40,1.63
2026-07-08 02:00,1.18,1.59,1.14,1.60
2026-07-08 03:00,1.20,1.73,1.32,1.60
2026-07-08 04:00,1.20,1.45,1.02,1.78
2026-07-08 05:00,1.11,1.52,1.21,1.56
2026-07-08 06:00,1.18,1.69,1.24,1.62
2026-07-08 07:00,1.17,1.51,1.30,1.67
2026-07-08 08:00,1.14,1.72,1.36,1.87
2026-07-08 09:00,1.50,1.82,1.46,1.88
2026-07-08 10:00,1.33,1.73,1.65,2.03
2026-07-08 11:00,1.43,1.85,1.69,1.90
2026-07-08 12:00,1.45,1.96,1.53,2.00
2026-07-08 13:00,1.66,1.95,1.54,2.07
2026-07-08 14:00,1.41,1.84,1.45,2.05
2026-07-08 15:00,1.41,1.63,1.53,1.80
2026-07-08 16:00,1.24,1.79,1.43,1.65
2026-07-08 17:00,1.20,1.70,1.23,1.80
2026-07-08 18:00,1.25,1.56,1.35,1.78
2026-07-08 19:00,1.09,1.66,1.16,1.66
2026-07-08 20:00,1.13,1.51,1.31,1.56
2026-07-08 21:00,1.08,1.51,1.14,1.86
2026-07-08 22:00,1.19,1.54,1.38,1.66
2026-07-08 23:00,1.09,1.61,1.22,1.83
2026-07-09 00:00,1.27,1.54,1.22,1.82
2026-07-09 01:00,1.17,1.59,1.31,1.54
2026-07-09 02:00,1.19,1.63,1.06,1.73
2026-07-09 03:00,1.25,1.78,1.11,1.52
2026-07-09 04:00,1.22,1.70,1.22,1.64
2026-07-09 05:00,1.11,1.68,1.05,1.62
2026-07-09 06:00,1.14,1.74,1.33,1.75
2026-07-09 07:00,1.04,1.79,1.55,1.86
2026-07-09 08:00,1.23,1.82,1.45,1.77
2026-07-09 09:00,1.43,1.94,1.43,1.89
2026-07-09 10:00,1.53,1.83,1.47,1.98
2026-07-09 11:00,1.43,1.93,1.62,2.21
2026-07-09 12:00,1.47,1.82,1.49,2.19
2026-07-09 13:00,1.46,1.95,1.57,2.11
2026-07-09 14:00,1.49,1.94,1.58,1.91
2026-07-09 15:00,1.26,1.95,1.68,2.00
2026-07-09 16:00,1.29,1.78,1.34,1.98
2026-07-09 17:00,1.29,1.87,1.45,1.84
2026-07-09 18:00,1.19,1.85,1.18,1.77
2026-07-09 19:00,1.21,1.68,1.22,1.78
2026-07-09 20:00,1.19,1.70,1.27,1.97
2026-07-09 21:00,1.14,1.70,1.32,1.87
2026-07-09 22:00,1.07,1.79,1.13,1.70
2026-07-09 23:00,1.31,1.72,1.32,1.74
2026-07-10 00:00,1.29,1.81,1.20,1.74
2026-07-10 01:00,1.26,1.79,1.12,1.95
2026-07-10 02:00,1.19,1.60,1.06,1.82
2026-07-10 03:00,1.12,1.64,1.27,1.92
2026-07-10 04:00,1.31,1.81,1.18,2.08
2026-07-10 05:00,1.26,1.79,1.24,1.84
2026-07-10 06:00,1.18,1.71,1.26,1.67
2026-07-10 07:00,1.21,1.93,1.46,1.99
2026-07-10 08:00,1.42,1.79,1.32,2.11
2026-07-10 09:00,1.40,1.93,1.30,2.12
2026-07-10 10:00,1.17,1.95,1.52,2.20
2026-07-10 11:00,1.27,2.05,1.55,2.26
2026-07-10 12:00,1.43,2.17,1.52,2.18
2026-07-10 13:00,1.58,2.04,1.56,2.28
2026-07-10 14:00,1.16,2.15,1.52,2.11
2026-07-10 15:00,1.35,2.16,1.27,2.17
2026-07-10 16:00,1.42,1.93,1.37,2.07
2026-07-10 17:00,1.24,1.98,1.48,1.82
2026-07-10 18:00,1.21,1.84,1.21,1.96
2026-07-10 19:00,1.18,1.93,1.19,1.99
2026-07-10 20:00,1.04,1.82,1.25,1.88
2026-07-10 21:00,1.26,1.73,1.31,2.02
2026-07-10 22:00,1.30,1.81,1.33,2.03
2026-07-10 23:00,1.19,1.73,1.32,1.93
2026-07-11 00:00,1.32,2.05,1.20,2.00
2026-07-11 01:00,1.17,1.82,1.18,1.93
2026-07-11 02:00,1.29,1.91,1.29,1.94
2026-07-11 03:00,1.17,1.87,1.29,1.93
2026-07-11 04:00,1.40,2.14,1.21,1.94
2026-07-11 05:00,1.06,1.93,1.33,2.00
2026-07-11 06:00,0.95,1.86,1.25,2.01
2026-07-11 07:00,1.18,2.05,1.28,2.11
2026-07-11 08:00,1.21,1.88,1.46,2.13
2026-07-11 09:00,1.41,2.04,1.54,2.27
2026-07-11 10:00,1.37,2.42,1.48,2.13
2026-07-11 11:00,1.50,2.33,1.67,2.22
2026-07-11 12:00,1.56,2.30,1.62,2.31
2026-07-11 13:00,1.44,2.14,1.49,2.36
2026-07-11 14:00,1.43,2.27,1.41,2.53
2026-07-11 15:00,1.34,2.11,1.52,2.12
2026-07-11 16:00,1.23,2.05,1.46,2.33
2026-07-11 17:00,1.21,2.15,1.51,2.22
2026-07-11 18:00,1.25,1.95,1.11,1.96
2026-07-11 19:00,1.04,1.86,1.31,1.95
2026-07-11 20:00,1.27,1.90,1.19,2.05
2026-07-11 21:00,1.15,2.11,1.23,2.22
2026-07-11 22:00,1.25,1.86,1.14,2.02
2026-07-11 23:00,1.08,2.00,1.24,2.08
