timestamp,DM1_VIB,SH2_VIB,OV5_VIB,CT2_VIB,PK3_VIB
2026-04-25 04:00,1.02,1.17,1.08,0.93,1.04
2026-04-25 05:00,0.98,1.22,1.1,0.89,1.05
2026-04-25 06:00,1.03,1.26,1.08,0.94,1.1
2026-04-25 07:00,0.99,1.15,1.04,0.92,1.13
2026-04-25 08:00,1.07,1.06,1.02,0.78,1.15
2026-04-25 09:00,1.08,1.15,0.95,0.82,1.17
2026-04-25 10:00,1.07,1.21,0.83,0.85,1.17
2026-04-25 11:00,1.09,1.16,0.95,0.81,1.09
2026-04-25 12:00,1.13,1.18,0.87,0.92,1.14
2026-04-25 13:00,1.08,1.17,0.87,0.97,1.27
2026-04-25 14:00,1.08,1.29,1.06,0.96,1.19
2026-04-25 15:00,1.03,1.32,1.06,0.84,1.12
2026-04-25 16:00,1.12,1.28,1.02,0.66,1.13
2026-04-25 17:00,1.14,1.25,0.95,0.77,1.13
2026-04-25 18:00,1.14,1.28,1.03,0.9,1.04
2026-04-25 19:00,1.08,1.33,1.0,0.89,1.09
2026-04-25 20:00,1.07,1.35,0.95,0.93,0.98
2026-04-25 21:00,1.09,1.36,0.92,1.0,1.07
2026-04-25 22:00,1.03,1.13,1.01,1.01,1.04
2026-04-25 23:00,1.1,1.1,0.93,0.97,1.13
2026-04-26 00:00,1.01,1.09,1.02,0.92,1.15
2026-04-26 01:00,0.99,1.16,1.1,0.82,1.11
2026-04-26 02:00,0.93,1.22,1.06,0.87,1.13
2026-04-26 03:00,0.98,1.23,1.1,0.85,1.07
2026-04-26 04:00,0.88,1.22,1.15,0.78,1.12
2026-04-26 05:00,0.89,1.29,1.17,0.73,1.21
2026-04-26 06:00,0.91,1.21,1.2,0.81,1.18
2026-04-26 07:00,0.9,1.13,1.18,0.79,1.2
2026-04-26 08:00,0.91,1.25,1.23,0.83,1.06
2026-04-26 09:00,0.94,1.22,1.17,0.91,1.12
2026-04-26 10:00,0.89,1.27,1.11,0.89,1.22
2026-04-26 11:00,0.96,1.22,1.16,0.96,1.19
2026-04-26 12:00,1.08,1.2,1.04,0.86,1.3
2026-04-26 13:00,1.23,1.12,1.01,0.89,1.24
2026-04-26 14:00,1.29,1.17,1.03,0.86,1.24
2026-04-26 15:00,1.16,1.12,1.1,0.99,1.24
2026-04-26 16:00,1.15,1.05,1.07,0.92,1.21
2026-04-26 17:00,1.21,1.01,1.03,0.9,1.15
2026-04-26 18:00,1.22,1.2,1.04,0.8,1.13
2026-04-26 19:00,1.19,1.26,1.03,0.77,1.11
2026-04-26 20:00,1.18,1.14,1.0,0.83,1.18
2026-04-26 21:00,1.11,1.23,0.97,0.85,1.28
2026-04-26 22:00,1.11,1.15,1.04,0.93,1.23
2026-04-26 23:00,1.13,1.12,0.98,0.96,1.18
2026-04-27 00:00,1.16,1.13,0.95,0.84,1.23
2026-04-27 01:00,1.12,1.1,1.0,0.85,1.08
2026-04-27 02:00,1.07,0.98,1.02,0.87,1.01
2026-04-27 03:00,1.05,1.16,0.99,0.94,1.11
2026-04-27 04:00,0.95,1.09,1.01,0.98,1.19
2026-04-27 05:00,0.92,1.07,1.1,0.96,1.18
2026-04-27 06:00,1.05,1.13,1.05,0.93,1.05
2026-04-27 07:00,0.98,1.04,1.01,0.9,1.05
2026-04-27 08:00,1.09,1.1,1.03,0.98,1.06
2026-04-27 09:00,1.1,1.08,1.03,1.01,1.02
2026-04-27 10:00,1.12,1.05,0.92,1.0,1.06
2026-04-27 11:00,1.11,0.99,0.88,1.04,1.19
2026-04-27 12:00,1.13,1.07,0.8,0.95,1.14
2026-04-27 13:00,1.12,1.19,0.81,0.98,1.19
2026-04-27 14:00,1.13,1.23,0.94,0.9,1.11
2026-04-27 15:00,1.07,1.2,0.94,0.91,1.11
2026-04-27 16:00,1.11,1.24,0.98,0.97,0.98
2026-04-27 17:00,1.07,1.26,0.96,0.92,1.11
2026-04-27 18:00,1.01,1.2,0.97,0.91,1.19
2026-04-27 19:00,1.06,1.2,0.98,0.83,1.14
2026-04-27 20:00,1.14,1.08,1.08,0.84,1.1
2026-04-27 21:00,1.12,1.12,0.92,0.93,1.12
2026-04-27 22:00,1.06,1.12,0.88,0.95,1.18
2026-04-27 23:00,1.01,1.08,0.93,0.86,1.21
2026-04-28 00:00,0.97,1.12,0.94,0.97,1.04
2026-04-28 01:00,0.85,1.16,0.96,0.89,1.03
2026-04-28 02:00,0.88,1.18,0.81,1.05,1.06
2026-04-28 03:00,0.86,1.22,0.85,0.98,1.15
2026-04-28 04:00,0.88,1.23,0.83,0.93,1.11
2026-04-28 05:00,1.06,1.2,0.91,0.92,1.1
2026-04-28 06:00,1.02,1.17,1.0,0.89,1.17
2026-04-28 07:00,0.93,1.08,0.91,0.97,1.24
2026-04-28 08:00,0.99,0.93,0.96,0.96,1.27
2026-04-28 09:00,1.08,1.02,0.99,0.93,1.2
2026-04-28 10:00,1.03,1.15,0.97,0.97,1.13
2026-04-28 11:00,1.04,1.21,0.96,0.99,1.19
2026-04-28 12:00,1.14,1.22,1.03,0.94,1.17
2026-04-28 13:00,1.04,1.12,1.08,0.95,1.09
2026-04-28 14:00,0.92,1.18,1.06,0.95,1.14
2026-04-28 15:00,0.91,1.14,1.12,0.89,1.22
2026-04-28 16:00,1.04,1.17,1.24,0.89,1.18
2026-04-28 17:00,0.95,1.23,1.06,0.96,1.12
2026-04-28 18:00,0.99,1.29,0.99,0.83,1.14
2026-04-28 19:00,1.07,1.3,1.03,0.9,1.16
2026-04-28 20:00,0.9,1.21,1.03,0.86,1.16
2026-04-28 21:00,0.93,1.16,0.99,0.98,1.07
2026-04-28 22:00,0.89,1.17,1.04,1.01,1.09
2026-04-28 23:00,1.0,1.25,1.01,1.08,1.08
2026-04-29 00:00,0.99,1.32,1.04,1.04,1.17
2026-04-29 01:00,0.88,1.28,1.15,0.94,1.16
2026-04-29 02:00,0.87,1.25,1.11,0.99,1.17
2026-04-29 03:00,0.88,1.3,1.0,1.12,1.14
2026-04-29 04:00,0.93,1.31,0.99,1.12,1.09
2026-04-29 05:00,0.87,1.27,1.04,1.14,0.97
2026-04-29 06:00,0.91,1.23,1.03,1.01,1.05
2026-04-29 07:00,0.88,1.15,1.06,0.95,1.02
2026-04-29 08:00,0.84,1.21,1.14,1.1,1.04
2026-04-29 09:00,0.9,1.18,1.08,0.99,1.19
2026-04-29 10:00,1.03,1.13,1.02,0.84,1.11
2026-04-29 11:00,1.06,1.16,0.96,0.79,0.99
2026-04-29 12:00,1.09,1.13,1.02,0.9,1.13
2026-04-29 13:00,1.18,1.09,1.12,0.88,1.1
2026-04-29 14:00,1.08,1.13,1.05,0.85,1.13
2026-04-29 15:00,1.07,1.24,1.08,0.74,1.15
2026-04-29 16:00,1.05,1.3,0.96,0.88,0.98
2026-04-29 17:00,0.94,1.24,0.97,0.92,0.98
2026-04-29 18:00,1.04,1.38,1.1,0.94,1.0
2026-04-29 19:00,1.04,1.27,1.12,0.94,0.99
2026-04-29 20:00,0.91,1.29,1.12,0.95,1.05
2026-04-29 21:00,0.89,1.21,1.05,0.88,1.05
2026-04-29 22:00,0.99,1.23,1.03,0.95,1.05
2026-04-29 23:00,1.03,1.19,0.95,0.81,1.06
2026-04-30 00:00,1.05,1.14,0.97,0.84,1.13
2026-04-30 01:00,0.97,1.2,0.95,0.93,1.1
2026-04-30 02:00,0.95,1.24,0.97,0.99,1.09
2026-04-30 03:00,1.07,1.25,1.01,1.02,1.04
2026-04-30 04:00,1.03,1.21,1.02,0.93,1.02
2026-04-30 05:00,1.12,1.39,1.04,0.99,1.11
2026-04-30 06:00,1.09,1.32,0.99,0.98,1.05
2026-04-30 07:00,1.03,1.37,1.06,1.02,1.1
2026-04-30 08:00,0.99,1.16,1.06,1.08,1.02
2026-04-30 09:00,0.96,1.16,1.08,0.99,1.0
2026-04-30 10:00,0.98,1.14,1.14,1.05,1.07
2026-04-30 11:00,1.05,1.17,1.16,0.97,1.12
2026-04-30 12:00,0.96,1.19,1.16,0.97,1.09
2026-04-30 13:00,0.87,1.11,1.09,0.9,1.11
2026-04-30 14:00,1.0,1.22,1.07,1.03,1.01
2026-04-30 15:00,1.03,1.18,1.11,1.03,1.06
2026-04-30 16:00,1.0,1.21,1.09,0.94,1.13
2026-04-30 17:00,1.03,1.25,1.11,0.99,1.15
2026-04-30 18:00,1.06,1.14,1.15,1.02,1.02
2026-04-30 19:00,0.99,1.12,1.11,0.88,1.18
2026-04-30 20:00,1.14,1.05,1.14,0.92,1.16
2026-04-30 21:00,1.04,0.97,1.1,0.87,1.12
2026-04-30 22:00,1.07,1.02,1.02,0.94,1.19
2026-04-30 23:00,1.06,1.17,0.95,0.92,1.16
2026-05-01 00:00,1.08,1.15,0.94,0.96,1.02
2026-05-01 01:00,0.97,1.12,1.01,0.92,1.18
2026-05-01 02:00,0.91,1.07,1.0,0.89,1.2
2026-05-01 03:00,1.02,1.09,0.93,0.85,1.08
2026-05-01 04:00,1.0,1.02,0.91,0.81,1.19
2026-05-01 05:00,0.96,1.08,1.03,0.89,1.36
2026-05-01 06:00,0.89,0.97,0.99,0.84,1.32
2026-05-01 07:00,0.85,1.1,0.98,0.96,1.27
2026-05-01 08:00,0.9,1.23,1.06,1.1,1.22
2026-05-01 09:00,0.91,1.19,0.94,0.99,1.23
2026-05-01 10:00,0.94,1.14,0.87,0.98,1.22
2026-05-01 11:00,0.9,1.08,0.91,0.93,1.36
2026-05-01 12:00,0.93,1.19,0.9,0.93,1.46
2026-05-01 13:00,0.92,1.24,0.91,0.92,1.47
2026-05-01 14:00,0.94,1.18,0.95,0.83,1.29
2026-05-01 15:00,0.98,1.21,0.82,0.84,1.42
2026-05-01 16:00,0.93,1.17,0.94,0.83,1.31
2026-05-01 17:00,0.99,1.15,0.91,0.77,1.22
2026-05-01 18:00,0.91,1.13,1.09,0.82,1.24
2026-05-01 19:00,0.99,1.19,1.0,0.8,1.05
2026-05-01 20:00,1.09,1.15,1.0,0.79,1.06
2026-05-01 21:00,1.08,1.17,1.02,0.88,1.1
2026-05-01 22:00,1.02,1.18,1.01,0.81,1.04
2026-05-01 23:00,0.99,1.25,0.99,0.75,1.01
2026-05-02 00:00,1.05,1.12,1.0,0.84,1.02
2026-05-02 01:00,1.06,1.18,0.94,0.74,1.03
2026-05-02 02:00,0.98,1.08,0.98,0.83,1.08
2026-05-02 03:00,1.04,1.16,1.1,0.95,1.1
2026-05-02 04:00,1.03,1.17,1.05,0.91,1.24
2026-05-02 05:00,1.09,1.15,1.05,0.96,1.35
2026-05-02 06:00,1.06,1.25,1.01,0.89,1.34
2026-05-02 07:00,1.17,1.29,0.94,0.93,1.37
2026-05-02 08:00,1.15,1.23,0.93,0.89,1.41
2026-05-02 09:00,1.06,1.25,0.86,0.75,1.33
2026-05-02 10:00,1.08,1.21,0.99,0.85,1.2
2026-05-02 11:00,1.16,1.2,0.95,0.86,1.11
2026-05-02 12:00,1.17,1.19,0.98,0.81,1.12
2026-05-02 13:00,1.13,1.06,1.06,0.94,1.15
2026-05-02 14:00,1.16,1.12,1.03,0.95,1.17
2026-05-02 15:00,1.03,1.08,1.09,0.87,1.09
2026-05-02 16:00,1.07,1.17,1.02,0.88,1.1
2026-05-02 17:00,1.1,1.2,1.01,0.91,1.13
2026-05-02 18:00,1.25,1.19,1.06,0.89,1.23
2026-05-02 19:00,1.26,1.18,1.07,0.89,1.17
2026-05-02 20:00,1.18,1.06,1.06,0.8,1.24
2026-05-02 21:00,1.15,1.0,1.16,0.88,1.28
2026-05-02 22:00,1.04,1.01,1.18,0.86,1.13
2026-05-02 23:00,0.91,1.09,1.0,0.8,1.13
2026-05-03 00:00,0.96,1.14,1.01,0.94,1.04
2026-05-03 01:00,0.85,1.16,0.96,0.9,0.85
2026-05-03 02:00,0.84,1.19,0.99,0.92,0.95
2026-05-03 03:00,0.9,1.06,0.97,0.88,1.02
2026-05-03 04:00,1.01,0.98,0.88,0.93,1.03
2026-05-03 05:00,0.95,0.96,0.97,0.91,1.04
2026-05-03 06:00,0.98,0.99,0.99,0.83,1.17
2026-05-03 07:00,1.02,0.98,0.96,0.8,1.13
2026-05-03 08:00,0.97,1.04,0.95,0.77,1.11
2026-05-03 09:00,0.95,1.04,0.79,0.81,1.13
2026-05-03 10:00,1.01,1.02,0.8,0.93,1.08
2026-05-03 11:00,0.95,1.02,0.81,1.02,1.18
2026-05-03 12:00,0.97,1.07,0.9,0.99,1.25
2026-05-03 13:00,1.13,1.12,0.88,0.96,1.24
2026-05-03 14:00,0.99,1.19,0.93,0.93,1.27
2026-05-03 15:00,0.91,1.21,0.79,0.88,1.1
2026-05-03 16:00,0.87,1.18,0.87,0.82,1.05
2026-05-03 17:00,0.99,1.16,0.78,0.8,1.06
2026-05-03 18:00,1.1,1.16,0.88,0.85,1.07
2026-05-03 19:00,1.04,1.13,0.83,0.95,1.1
2026-05-03 20:00,1.11,1.09,0.97,0.94,1.02
2026-05-03 21:00,1.27,1.16,0.88,0.95,1.03
2026-05-03 22:00,1.26,1.24,0.93,0.82,1.08
2026-05-03 23:00,1.29,1.17,1.13,0.85,1.19
2026-05-04 00:00,1.14,1.13,1.0,0.8,1.2
2026-05-04 01:00,1.15,1.23,1.04,0.87,1.25
2026-05-04 02:00,1.09,1.11,0.97,0.96,1.19
2026-05-04 03:00,1.15,1.09,0.99,0.82,1.09
2026-05-04 04:00,1.17,1.06,1.1,0.79,1.17
2026-05-04 05:00,1.15,1.09,1.14,0.75,1.03
2026-05-04 06:00,1.07,1.21,1.18,0.93,1.06
2026-05-04 07:00,1.01,1.11,1.06,0.94,1.07
2026-05-04 08:00,0.99,1.1,1.04,0.99,1.07
2026-05-04 09:00,1.07,1.09,1.12,0.98,1.12
2026-05-04 10:00,0.97,1.08,1.17,0.96,1.1
2026-05-04 11:00,0.89,1.14,1.05,0.95,1.18
2026-05-04 12:00,1.1,1.27,1.04,0.97,1.02
2026-05-04 13:00,1.12,1.36,0.95,0.89,1.01
2026-05-04 14:00,1.08,1.3,0.99,0.8,0.82
2026-05-04 15:00,0.99,1.26,0.99,0.84,0.93
2026-05-04 16:00,1.01,1.2,1.09,0.9,0.9
2026-05-04 17:00,1.02,1.21,1.07,0.82,0.91
2026-05-04 18:00,1.04,1.27,1.06,0.78,0.91
2026-05-04 19:00,1.04,1.3,1.03,0.76,1.0
2026-05-04 20:00,1.2,1.16,1.02,0.9,1.06
2026-05-04 21:00,1.33,1.13,0.95,1.02,1.02
2026-05-04 22:00,1.32,1.16,0.97,0.98,1.07
2026-05-04 23:00,1.21,1.15,0.93,0.87,1.15
2026-05-05 00:00,1.22,1.09,0.95,0.88,1.11
2026-05-05 01:00,1.16,1.07,0.93,0.93,1.09
2026-05-05 02:00,1.02,1.14,0.98,0.91,1.06
2026-05-05 03:00,0.9,1.08,0.96,0.89,1.06
2026-05-05 04:00,1.02,1.09,0.97,0.83,1.08
2026-05-05 05:00,1.08,1.18,0.94,0.81,1.12
2026-05-05 06:00,0.96,1.21,0.98,0.92,1.2
2026-05-05 07:00,0.99,1.11,0.98,0.99,1.1
2026-05-05 08:00,0.99,1.1,0.99,0.97,1.08
2026-05-05 09:00,0.98,1.1,1.0,0.89,1.14
2026-05-05 10:00,0.99,1.22,0.96,0.88,1.05
2026-05-05 11:00,1.02,1.31,1.0,1.0,1.1
2026-05-05 12:00,1.18,1.27,0.94,0.99,1.05
2026-05-05 13:00,1.19,1.14,0.98,1.0,0.96
2026-05-05 14:00,1.12,1.1,1.03,0.84,1.03
2026-05-05 15:00,1.02,1.16,0.96,0.78,1.07
2026-05-05 16:00,0.99,1.15,0.96,0.91,1.16
2026-05-05 17:00,0.9,1.11,1.05,0.96,1.17
2026-05-05 18:00,0.92,1.09,0.93,0.89,1.13
2026-05-05 19:00,0.83,1.16,0.94,0.94,1.06
2026-05-05 20:00,0.92,1.08,0.91,1.06,1.07
2026-05-05 21:00,0.93,1.1,0.88,0.99,1.06
2026-05-05 22:00,1.04,1.17,0.73,0.87,1.1
2026-05-05 23:00,1.05,1.31,0.75,0.91,1.14
2026-05-06 00:00,1.06,1.32,0.78,0.87,1.11
2026-05-06 01:00,1.15,1.34,0.91,0.96,1.07
2026-05-06 02:00,1.09,1.22,0.91,0.93,1.08
2026-05-06 03:00,1.08,1.23,0.87,0.83,1.18
2026-05-06 04:00,1.06,1.31,0.9,0.81,1.15
2026-05-06 05:00,1.08,1.19,0.87,0.7,1.21
2026-05-06 06:00,1.08,1.19,0.88,0.78,1.22
2026-05-06 07:00,1.06,1.24,0.85,0.73,1.09
2026-05-06 08:00,1.11,1.19,1.0,0.74,1.02
2026-05-06 09:00,1.0,1.09,1.08,0.75,1.04
2026-05-06 10:00,1.01,1.08,1.18,0.79,1.08
2026-05-06 11:00,1.02,1.08,1.2,0.9,1.03
2026-05-06 12:00,0.96,1.0,1.09,0.79,0.96
2026-05-06 13:00,1.07,0.96,1.03,0.73,0.92
2026-05-06 14:00,1.06,0.97,1.14,0.76,0.92
2026-05-06 15:00,1.11,1.04,1.15,0.8,1.14
2026-05-06 16:00,1.01,0.98,1.16,0.81,1.18
2026-05-06 17:00,1.0,1.15,1.14,0.82,1.19
2026-05-06 18:00,0.98,1.12,1.05,0.88,1.22
2026-05-06 19:00,1.05,1.04,0.89,0.94,1.23
2026-05-06 20:00,1.11,1.11,0.95,0.97,1.27
2026-05-06 21:00,1.09,1.17,0.88,1.01,1.31
2026-05-06 22:00,1.12,1.05,0.86,0.99,1.28
2026-05-06 23:00,1.08,0.93,0.87,0.95,1.26
2026-05-07 00:00,1.08,1.01,1.04,1.02,1.2
2026-05-07 01:00,1.08,1.15,1.04,1.0,1.11
2026-05-07 02:00,1.0,1.18,1.13,1.03,1.14
2026-05-07 03:00,1.0,1.23,1.07,0.99,1.25
2026-05-07 04:00,1.06,1.18,1.04,0.93,1.25
2026-05-07 05:00,1.08,1.17,0.98,0.98,1.24
2026-05-07 06:00,1.03,1.14,1.04,0.99,1.14
2026-05-07 07:00,1.01,1.15,1.08,1.01,1.12
2026-05-07 08:00,0.98,1.17,0.99,0.99,1.14
2026-05-07 09:00,0.84,1.11,0.99,0.94,1.05
2026-05-07 10:00,0.8,1.15,0.92,0.93,1.15
2026-05-07 11:00,0.88,1.24,0.94,0.81,1.22
2026-05-07 12:00,1.02,1.17,1.14,0.84,1.21
2026-05-07 13:00,1.07,1.13,1.06,0.75,1.27
2026-05-07 14:00,1.02,1.23,0.99,0.71,1.2
2026-05-07 15:00,1.01,1.19,0.97,0.75,1.24
2026-05-07 16:00,1.04,1.29,1.02,0.86,1.29
2026-05-07 17:00,1.03,1.19,1.02,0.84,1.2
2026-05-07 18:00,1.11,1.11,1.16,0.96,1.21
2026-05-07 19:00,1.13,1.16,1.05,0.92,1.23
2026-05-07 20:00,1.14,1.1,0.99,0.94,1.17
2026-05-07 21:00,1.2,1.07,1.08,0.91,1.15
2026-05-07 22:00,1.17,1.05,1.19,0.93,1.15
2026-05-07 23:00,1.08,1.0,1.13,0.91,1.18
2026-05-08 00:00,1.06,1.0,1.13,0.84,1.29
2026-05-08 01:00,0.96,1.04,1.07,0.82,1.21
2026-05-08 02:00,0.97,1.1,1.13,0.98,1.21
2026-05-08 03:00,1.0,1.03,1.16,1.02,1.11
2026-05-08 04:00,1.11,1.06,1.18,1.0,1.15
2026-05-08 05:00,1.16,0.99,1.14,0.95,1.11
2026-05-08 06:00,1.12,0.98,0.99,0.95,1.27
2026-05-08 07:00,1.09,1.03,1.06,0.93,1.17
2026-05-08 08:00,1.06,1.04,1.09,0.93,1.14
2026-05-08 09:00,1.15,1.05,1.06,1.05,1.14
2026-05-08 10:00,0.95,1.0,0.98,1.05,1.19
2026-05-08 11:00,0.97,1.0,1.09,0.91,1.1
2026-05-08 12:00,0.97,1.05,1.05,0.94,1.12
2026-05-08 13:00,1.01,1.03,1.09,0.89,1.19
2026-05-08 14:00,0.98,1.08,1.02,1.01,1.16
2026-05-08 15:00,0.92,1.16,1.03,0.97,1.16
2026-05-08 16:00,0.92,1.13,1.13,0.84,0.98
2026-05-08 17:00,0.95,1.12,1.08,0.83,1.05
2026-05-08 18:00,1.01,1.15,0.97,0.98,1.15
2026-05-08 19:00,1.07,1.17,1.03,1.02,1.12
2026-05-08 20:00,1.04,1.16,1.1,1.05,1.13
2026-05-08 21:00,1.05,1.27,1.07,1.02,1.11
2026-05-08 22:00,1.01,1.25,1.08,0.96,1.06
2026-05-08 23:00,0.96,1.22,0.9,1.02,1.0
2026-05-09 00:00,1.02,1.1,0.92,0.97,1.12
2026-05-09 01:00,0.92,1.19,0.9,0.91,1.1
2026-05-09 02:00,0.94,1.27,0.92,0.87,1.19
2026-05-09 03:00,0.98,1.35,0.87,0.94,1.3
2026-05-09 04:00,0.89,1.14,0.89,0.93,1.22
2026-05-09 05:00,0.91,1.09,0.98,0.88,1.18
2026-05-09 06:00,1.03,1.1,0.91,0.85,1.19
2026-05-09 07:00,1.04,1.11,0.93,0.8,1.14
2026-05-09 08:00,1.02,1.24,0.93,0.84,1.18
2026-05-09 09:00,0.99,1.23,0.96,0.88,1.14
2026-05-09 10:00,1.0,1.26,0.94,0.88,1.05
2026-05-09 11:00,0.96,1.31,0.88,0.88,1.11
2026-05-09 12:00,0.98,1.17,0.86,0.85,1.08
2026-05-09 13:00,1.01,1.17,0.93,0.98,1.18
2026-05-09 14:00,0.94,1.28,1.02,0.92,1.16
2026-05-09 15:00,0.83,1.24,1.08,1.01,1.16
2026-05-09 16:00,0.8,1.23,1.09,0.95,1.23
2026-05-09 17:00,0.82,1.25,1.02,1.08,1.22
2026-05-09 18:00,0.78,1.16,0.97,1.07,1.13
2026-05-09 19:00,0.8,1.18,0.93,1.01,1.21
2026-05-09 20:00,0.91,1.22,1.0,1.08,1.18
2026-05-09 21:00,0.86,1.09,1.02,1.07,1.2
2026-05-09 22:00,1.0,1.18,1.03,1.15,1.24
2026-05-09 23:00,1.07,1.19,1.15,1.07,1.19
2026-05-10 00:00,1.11,1.31,1.08,0.98,1.19
2026-05-10 01:00,0.99,1.24,1.09,0.93,1.08
2026-05-10 02:00,1.08,1.13,1.02,0.85,1.13
2026-05-10 03:00,1.08,1.1,0.95,0.82,1.19
2026-05-10 04:00,1.04,1.08,1.01,0.91,1.27
2026-05-10 05:00,1.01,1.19,1.13,0.95,1.19
2026-05-10 06:00,1.07,1.19,0.98,0.93,1.26
2026-05-10 07:00,0.94,1.18,0.94,0.88,1.18
2026-05-10 08:00,0.87,1.16,0.88,0.91,1.19
2026-05-10 09:00,0.94,1.1,0.87,0.84,1.14
2026-05-10 10:00,1.05,1.17,0.94,0.94,1.15
2026-05-10 11:00,1.04,1.04,0.92,0.89,1.22
2026-05-10 12:00,0.96,1.04,0.98,1.02,1.29
2026-05-10 13:00,0.87,1.04,0.97,1.04,1.34
2026-05-10 14:00,0.87,0.95,1.0,0.92,1.27
2026-05-10 15:00,0.85,1.02,1.0,0.88,1.29
