order_id,order_date,quantity,destination_region,rush_order,actual_lead_time_days
ORD-1060,2025-11-28,500,south,no,8
ORD-1061,2025-12-01,150,north,no,5
ORD-1062,2025-11-08,800,south,no,11
ORD-1063,2025-11-02,300,west,no,7
ORD-1064,2025-11-16,150,north,yes,3
ORD-1065,2025-11-05,500,export,no,12
ORD-1066,2025-12-15,150,east,no,5
ORD-1067,2025-12-05,100,north,no,5
ORD-1068,2025-11-06,50,west,no,5
ORD-1069,2025-12-05,500,east,no,8
ORD-1070,2025-11-14,100,north,no,4
ORD-1071,2025-12-25,50,east,no,5
ORD-1072,2025-11-08,50,east,no,5
ORD-1073,2025-10-19,500,east,yes,6
ORD-1074,2025-10-23,200,east,no,6
ORD-1075,2025-12-25,300,north,no,6
ORD-1076,2025-12-15,50,west,no,4
ORD-1077,2025-10-20,200,south,no,5
ORD-1078,2025-10-22,500,east,no,6
ORD-1079,2025-12-21,200,north,yes,4
ORD-1080,2025-12-20,300,south,yes,4
ORD-1081,2025-12-18,150,west,no,5
ORD-1082,2025-11-14,100,east,yes,3
ORD-1083,2025-12-11,50,north,no,4
ORD-1084,2025-10-19,300,west,no,7
ORD-1085,2025-10-26,500,north,no,8
ORD-1086,2025-12-19,300,export,no,10
ORD-1087,2025-11-16,50,west,no,6
ORD-1088,2025-10-25,100,south,no,5
ORD-1089,2025-11-15,500,south,no,8
ORD-1090,2025-12-22,100,south,no,5
ORD-1091,2025-11-01,800,south,yes,8
ORD-1092,2025-10-27,100,export,no,9
ORD-1093,2025-12-15,150,east,no,5
ORD-1094,2025-12-06,300,north,yes,4
ORD-1095,2025-11-05,100,south,yes,3
ORD-1096,2025-10-16,500,east,no,8
ORD-1097,2025-12-11,500,export,no,11
ORD-1098,2025-10-04,200,export,no,10
ORD-1099,2025-11-14,100,export,yes,8
ORD-1100,2025-11-12,200,south,yes,3
ORD-1101,2025-11-03,50,export,no,9
ORD-1102,2025-12-12,200,west,no,6
ORD-1103,2025-12-03,500,north,yes,5
ORD-1104,2025-12-16,800,export,no,13
ORD-1105,2025-10-07,500,south,no,8
ORD-1106,2025-11-13,150,west,no,5
ORD-1107,2025-11-16,150,south,no,6
ORD-1108,2025-12-23,150,export,yes,8
ORD-1109,2025-10-29,300,export,yes,7
ORD-1110,2025-10-29,300,south,no,5
ORD-1111,2025-11-05,500,east,no,7
ORD-1112,2025-12-14,800,south,no,9
ORD-1113,2025-12-22,200,export,no,10
ORD-1114,2025-11-21,300,south,no,7
ORD-1115,2025-11-17,50,north,no,4
ORD-1116,2025-12-13,100,east,yes,3
ORD-1117,2025-11-26,300,east,yes,5
ORD-1118,2025-12-19,50,west,no,4
ORD-1119,2025-10-18,150,export,no,10
ORD-2000,2026-07-09,200,north,no,
ORD-2001,2026-07-08,300,south,no,
ORD-2002,2026-07-10,200,east,no,
ORD-2003,2026-07-09,400,east,no,
ORD-2004,2026-07-07,400,west,no,
ORD-2005,2026-07-06,800,export,no,
ORD-2006,2026-07-08,600,north,no,
ORD-2007,2026-07-09,400,south,no,
